parameter,mean,std,ess_bulk,ess_tail,rhat,rhat_warn,ess_bulk_warn,ess_tail_warn,ess_warn
"parameters[1, 18]",2.0487231834475708,2.7096883645322465,6308.429212319152,3073.469110386285,1.0000051964409988,false,false,false,false
"parameters[2, 18]",1.273887752532819,0.6424372687983996,4662.901267985885,2329.201505172448,1.0002997500971482,false,false,false,false
"parameters[3, 18]",0.7467947442830981,0.18836777651089476,4741.008665279017,2802.9043082949224,1.0040770078432741,false,false,false,false
"parameters[4, 18]",-5.081198890192805,0.9781183732498654,5397.145323047367,2234.642329698415,1.002703860128099,false,false,false,false
"parameters[1, 19]",1.971307010675816,2.492155092805186,6392.321525519047,2992.9961258729963,0.9995943373611844,false,false,false,false
"parameters[2, 19]",0.80997746211873,0.4664224541603025,2838.6025485217574,2087.6031757731002,1.0004155797051615,false,false,false,false
"parameters[3, 19]",0.6779838427649784,0.2583061204385456,2653.9148496773946,2199.53148703928,1.001221167067779,false,false,false,false
"parameters[4, 19]",-4.917293979474829,1.0139317483589145,5273.258327745156,2181.831580977604,1.0040521287924613,false,false,false,false
"parameters[1, 20]",1.2321562776791735,1.456869886576665,7515.380461067472,2954.8469129229516,0.9997886252443206,false,false,false,false
"parameters[2, 20]",0.9830841286684919,0.42125073080159,2397.6082497929474,1388.5455896125552,1.0009681783970215,false,false,false,false
"parameters[3, 20]",0.4943982461687327,0.2026997721672923,2178.5113454027774,1336.5745114978513,1.0025181694146759,false,false,false,false
"parameters[4, 20]",-5.537741262805248,0.9171026839434598,5369.109324125378,2558.0373132864283,1.0011099354370407,false,false,false,false
"parameters[1, 21]",1.8496932033138005,2.241707341051944,6392.683462422953,2840.7040849783925,1.001708382396913,false,false,false,false
"parameters[2, 21]",0.7451127149249784,0.4773319191640304,4149.327931368201,2938.5225778204563,1.0000129352268203,false,false,false,false
"parameters[3, 21]",1.1918856364892296,0.4152519814750237,4561.216639483562,3106.7038276540616,0.999896171979773,false,false,false,false
"parameters[4, 21]",-5.346998316037119,0.964493519967895,5844.199559118474,2529.479646656068,1.0002169809599641,false,false,false,false
"parameters[1, 22]",1.7764572840467732,2.2243932906142985,7076.164675675178,2274.622079564469,1.0003761815405714,false,false,false,false
