"detectprob","resp_binary","subject_nr","condition"
0,0,2,4
0,0,2,4
0.17777886641275,1,2,4
0,0,2,4
0.17777886641275,0,2,5
0.510981698596419,0,2,5
0.510981698596419,1,2,5
0,0,2,5
0.834703624431779,1,2,5
0,0,2,5
0.510981698596419,1,2,5
0.834703624431779,1,2,5
0.834703624431779,1,2,5
0.510981698596419,0,2,5
0.510981698596419,1,2,5
0.17777886641275,0,2,5
0.510981698596419,1,2,5
0.834703624431779,1,2,5
0.510981698596419,0,2,5
0.510981698596419,0,2,5
0,0,2,5
0.510981698596419,1,2,5
0.510981698596419,0,2,5
0.834703624431779,1,2,5
0,0,2,5
0.17777886641275,1,2,5
0,0,2,5
0,1,2,5
0,1,2,5
0,0,2,5
0.17777886641275,0,2,5
0.510981698596419,0,2,5
0.510981698596419,1,2,5
0.510981698596419,0,2,5
0.834703624431779,1,2,5
0.510981698596419,0,2,5
0,0,2,5
0.17777886641275,1,2,5
0.510981698596419,1,2,5
0.510981698596419,1,2,5
0,0,2,5
0.510981698596419,1,2,5
0,0,2,5
0,0,2,5
0.834703624431779,1,2,5
0,0,2,5
0.510981698596419,1,2,5
0.834703624431779,1,2,5
0,1,2,5
0.17777886641275,1,2,5
0,0,2,5
0,0,2,5
0,0,2,5
0.510981698596419,0,2,5
0,0,2,5
0,0,2,5
0.834703624431779,1,2,5
0.510981698596419,0,2,5
0.17777886641275,0,2,5
0.510981698596419,0,2,5
0,0,2,5
0,0,2,5
0.510981698596419,1,2,5
0,0,2,5
0,1,2,5
0,0,2,5
0.834703624431779,1,2,5
0.17777886641275,0,2,5
0.17777886641275,1,2,5
0.834703624431779,1,2,5
0,0,2,5
0.510981698596419,0,2,5
0,0,2,5
0,0,2,5
0.510981698596419,1,2,5
0,0,2,5
0.510981698596419,1,2,5
0,0,2,5
0,0,2,5
0,0,2,5
0.834703624431779,1,2,5
0.17777886641275,0,2,5
0.510981698596419,0,2,5
0,0,2,5
0.510981698596419,1,2,6
0.510981698596419,0,2,6
0.510981698596419,0,2,6
0.834703624431779,0,2,6
0,0,2,6
0.17777886641275,0,2,6
0.834703624431779,1,2,6
0.510981698596419,0,2,6
0,0,2,6
0.510981698596419,0,2,6
0.834703624431779,0,2,6
0.510981698596419,0,2,6
0.510981698596419,0,2,6
0.510981698596419,0,2,6
0.17777886641275,0,2,6
0.834703624431779,1,2,6
0,0,2,6
0,0,2,6
0.510981698596419,0,2,6
0.510981698596419,0,2,6
0,0,2,6
0.510981698596419,0,2,6
0.510981698596419,0,2,6
0.834703624431779,1,2,6
0.510981698596419,1,2,6
0.834703624431779,1,2,6
0,0,2,6
0.510981698596419,1,2,6
0.17777886641275,0,2,6
0,0,2,6
0,0,2,6
0.17777886641275,0,2,6
0.510981698596419,1,2,6
0.510981698596419,1,2,6
0.834703624431779,0,2,6
0,0,2,6
0.834703624431779,1,2,6
0.510981698596419,1,2,6
0,0,2,6
0,0,2,6
